sentiment,text,positive,negative
neg,"not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy hollywood at its laziest .",7,1
neg,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",5,2
neg,"the overall feel of the film is pretty cheesy , but there's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",10,4
pos,plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-and-family-oriented cable channel .,6,0
neg,animated drivel meant to enhance the self-image of drooling idiots .,2,3
neg,"when not obscured by the booming bass-heavy soundtrack , the conversation presents the kind of linguistic fumbling not heard since macy gray's game of chinese whispers with mr bean .",7,5
pos,"a compelling , moving film that respects its audience and its source material .",3,1
pos,once you get into its rhythm . . . the movie becomes a heady experience .,2,1
pos," . . . a spoof comedy that carries its share of laughs  sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",10,1
neg,"that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",5,4
pos,davis . . . gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences .,6,2
pos,"despite its old-hat set-up and predictable plot , empire still has enough moments to keep it entertaining .",5,1
pos,"despite the long running time , the pace never feels slack -- there's no scene that screams "" bathroom break ! """,4,4
neg,one of those strained caper movies that's hardly any fun to watch and begins to vaporize from your memory minutes after it ends .,3,3
pos,excellent performances from jacqueline bisset and martha plimpton grace this deeply touching melodrama .,6,1
pos,a well-put-together piece of urban satire .,1,1
pos,"[russell] makes good b movies ( the mask , the blob ) , and the scorpion king more than ably meets those standards .",5,3
pos,combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why didn't hollywood think of this sooner ?,4,6
neg,"narratively , trouble every day is a plodding mess .",0,4
neg,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,5,8
neg,the script has less spice than a rat burger and the rock's fighting skills are more in line with steven seagal .,3,3
pos,"further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of dubya's axis of evil .",3,2
neg,does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny .,5,0
neg,the movie is virtually without context -- journalistic or historical . what's worse is that pelosi knows it .,2,2
neg,"when not wallowing in its characters' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems .",2,5
neg," . . . has about 3/4th the fun of its spry 2001 predecessor  but it's a rushed , slapdash , sequel-for-the-sake- of-a-sequel with less than half the plot and ingenuity .",3,6
neg,"a big , loud , bang-the-drum bore .",1,2
pos,"13 conversations may be a bit too enigmatic and overly ambitious to be fully successful , but sprecher and her screenwriting partner and sister , karen sprecher , don't seem ever to run out of ideas .",6,2
neg,i got a headache watching this meaningless downer .,0,3
pos,"as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining .",9,3
pos,this sci-fi techno-sex thriller starts out bizarre and just keeps getting weirder .,1,3
neg,"for the most part , the ingredients are there . but an unwillingness to explore beyond the surfaces of her characters prevents nettelbeck's film from coming together .",6,2
neg,topkapi this is not .,0,1
neg,sheridan . . . smoothes over sources of conflict that could have lent the film a bit more depth .,2,3
pos,"what's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .",10,1
pos,"not the best herzog perhaps , but unmistakably herzog .",1,0
neg,"every potential twist is telegraphed well in advance , every performance respectably muted ; the movie itself seems to have been made under the influence of rohypnol .",5,2
pos,genuinely touching because it's realistic about all kinds of love .,5,0
neg,"maybe it's the star power of the cast or the redundant messages , but something aboul "" full frontal "" seems , well , contrived .",3,4
neg,a cautionary tale about the folly of superficiality that is itself endlessly superficial .,2,3
pos,k-19 : the widowmaker is a great yarn .,2,0
